scenario,window_id,market_close,candidate_traded_seed_count,candidate_mean_pnl,reference_mean_pnl,candidate_minus_reference_total_pnl,candidate_negative_seed_count,candidate_all_traded_seeds_negative,candidate_stopped_seed_count,candidate_stopped_within_120_bars,candidate_zero_pair_seed_count,candidate_single_fill_stop_seed_count,candidate_mean_fill_count,candidate_mean_pair_count,candidate_mean_paired_grid_pnl,candidate_mean_stop_exit_pnl,directional_efficiency,volatility_expansion,reversal_ratio,grid_score
BASE,nyse_20200103T210000Z,2020-01-03T21:00:00+00:00,0,0.0,0.0,0.0,0,False,0,0,0,0,0.0,0.0,0.0,0.0,0.3515824752897388,1.2696513425480471,0.42857142857142855,74.59155062802691
BASE,nyse_20200110T210000Z,2020-01-10T21:00:00+00:00,0,0.0,0.0,0.0,0,False,0,0,0,0,0.0,0.0,0.0,0.0,0.6246113815701678,1.3392617948852723,0.6428571428571429,67.47491074785201
BASE,nyse_20200117T210000Z,2020-01-17T21:00:00+00:00,6,0.9390664953060287,0.9390664953060287,0.0,3,False,6,0,0,0,12.5,5.833333333333333,3.1544068605458553,-1.8204875079011344,0.3685656254775133,0.8988039310418087,0.42857142857142855,80.80689336830844
BASE,nyse_20200124T210000Z,2020-01-24T21:00:00+00:00,6,-0.8043633358611172,-0.03772308960554993,-4.5998414775334036,6,True,6,0,0,0,2.0,1.0,-0.6976000000000059,0.0,0.12672912717354606,0.45578281843769153,0.5,88.80208449489571
BASE,nyse_20200131T210000Z,2020-01-31T21:00:00+00:00,0,0.0,0.0,0.0,0,False,0,0,0,0,0.0,0.0,0.0,0.0,0.3847694079926834,1.20607954616111,0.42857142857142855,75.19852675267384
BASE,nyse_20200207T210000Z,2020-02-07T21:00:00+00:00,0,0.0,0.0,0.0,0,False,0,0,0,0,0.0,0.0,0.0,0.0,0.05248760887199011,1.1899594508464417,0.35714285714285715,84.49058988464773
BASE,nyse_20200214T210000Z,2020-02-14T21:00:00+00:00,0,0.0,0.0,0.0,0,False,0,0,0,0,0.0,0.0,0.0,0.0,0.5392503870445071,0.9327817543834389,0.5714285714285714,77.55145920457332
BASE,nyse_20200221T210000Z,2020-02-21T21:00:00+00:00,0,0.0,0.0,0.0,0,False,0,0,0,0,0.0,0.0,0.0,0.0,0.3507866298297572,1.3075226608265378,0.5,74.55424070599337
BASE,nyse_20200228T210000Z,2020-02-28T21:00:00+00:00,0,0.0,0.0,0.0,0,False,0,0,0,0,0.0,0.0,0.0,0.0,0.4637260570293302,1.229800077479416,0.5714285714285714,74.05029051092444
BASE,nyse_20200306T210000Z,2020-03-06T21:00:00+00:00,6,-3.353534484637225,-3.353534484637225,0.0,6,True,6,0,0,0,5.0,2.0,0.742900000000005,-3.904674596424091,0.11045652285460135,0.830197159302566,0.5714285714285714,90.16304344545291
BASE,nyse_20200313T200000Z,2020-03-13T20:00:00+00:00,6,-1.6480304804921106,-1.6480304804921106,0.0,6,True,6,1,0,0,11.166666666666666,5.0,3.037184402054191,-4.336555692905276,0.23981314414595306,1.0007287629070887,0.7857142857142857,88.98734813507976
BASE,nyse_20200320T200000Z,2020-03-20T20:00:00+00:00,6,0.5147599590810373,0.5147599590810373,0.0,0,False,6,0,0,0,18.333333333333332,8.666666666666666,5.375759840432482,-4.296901867082666,0.17152935566693567,0.9990329867396139,0.42857142857142855,86.6020777745019
BASE,nyse_20200327T200000Z,2020-03-27T20:00:00+00:00,0,0.0,0.0,0.0,0,False,0,0,0,0,0.0,0.0,0.0,0.0,0.047263243636557824,1.083210945427949,0.7142857142857143,91.7142594872876
BASE,nyse_20200403T200000Z,2020-04-03T20:00:00+00:00,0,0.0,0.0,0.0,0,False,0,0,0,0,0.0,0.0,0.0,0.0,0.5989520801536078,1.2460047480198508,0.5714285714285714,69.66952646636035
BASE,nyse_20200409T200000Z,2020-04-09T20:00:00+00:00,6,-4.249189413640046,-4.249189413640046,0.0,6,True,6,0,6,6,1.0,0.0,0.0,-4.160916969963917,0.2464857537026189,0.7076876870897362,0.5,85.27983077345239
BASE,nyse_20200417T200000Z,2020-04-17T20:00:00+00:00,0,0.0,0.0,0.0,0,False,0,0,0,0,0.0,0.0,0.0,0.0,0.004517355523850375,1.1349865275715536,0.6428571428571429,90.79982503330102
BASE,nyse_20200424T200000Z,2020-04-24T20:00:00+00:00,6,-0.45856630751122557,-0.8851638713474509,2.559585383017352,3,False,6,0,0,0,6.0,3.0,-0.34035217984719507,0.0,0.17471170388066024,0.7232314496974616,0.5,87.39083223880411
BASE,nyse_20200501T200000Z,2020-05-01T20:00:00+00:00,6,1.7110087902839428,-0.7448034301930412,14.734873322861905,0,False,6,0,0,0,11.333333333333334,5.666666666666667,1.956822911481437,0.0,0.012414785809122962,0.5559920121213308,0.42857142857142855,91.28191806443758
BASE,nyse_20200508T200000Z,2020-05-08T20:00:00+00:00,0,0.0,0.0,0.0,0,False,0,0,0,0,0.0,0.0,0.0,0.0,0.5548118950208575,1.1465165455986992,0.35714285714285715,70.79815969722287
BASE,nyse_20200515T200000Z,2020-05-15T20:00:00+00:00,0,0.0,0.0,0.0,0,False,0,0,0,0,0.0,0.0,0.0,0.0,0.4474537344981044,1.4904793677286625,0.5714285714285714,68.03746276936161
BASE,nyse_20200522T200000Z,2020-05-22T20:00:00+00:00,0,0.0,0.0,0.0,0,False,0,0,0,0,0.0,0.0,0.0,0.0,0.10824246996531496,1.296315622984128,0.7142857142857143,84.61402850710168
BASE,nyse_20200529T200000Z,2020-05-29T20:00:00+00:00,6,-0.339531133185413,-2.6630765989119802,13.941272794359405,5,False,6,0,0,0,6.0,3.0,-0.20272531581315892,0.0,0.1330312831062474,0.9104092344417752,0.6428571428571429,90.38143284981626
BASE,nyse_20200605T200000Z,2020-06-05T20:00:00+00:00,6,1.8752406857187642,3.3273798645909096,-8.712835073232872,0,False,6,0,0,0,12.666666666666666,6.333333333333333,2.249832940853128,0.0,0.24361942436611506,0.49680131649638826,0.5,85.36413457746721
BASE,nyse_20200612T200000Z,2020-06-12T20:00:00+00:00,0,0.0,0.0,0.0,0,False,0,0,0,0,0.0,0.0,0.0,0.0,0.12091109107338831,1.3163559777427727,0.42857142857142855,80.21296611091365
BASE,nyse_20200619T200000Z,2020-06-19T20:00:00+00:00,0,0.0,0.0,0.0,0,False,0,0,0,0,0.0,0.0,0.0,0.0,0.39216675713786747,1.3618136131070537,0.35714285714285715,70.22052109112236
BASE,nyse_20200626T200000Z,2020-06-26T20:00:00+00:00,6,-1.6624509001833196,-1.6624509001833196,0.0,6,True,6,0,0,0,8.666666666666666,3.8333333333333335,1.451786934675698,-2.8828926449193433,0.2522675448497305,0.7801582256839733,0.42857142857142855,84.22742515147853
BASE,nyse_20200702T200000Z,2020-07-02T20:00:00+00:00,6,1.9381100305925907,1.4701061430710667,2.8080233251291435,0,False,6,0,0,0,8.0,4.0,2.175852160537914,0.0,0.15777530092733116,0.622252044524968,0.6428571428571429,89.65366761978439
BASE,nyse_20200710T200000Z,2020-07-10T20:00:00+00:00,0,0.0,0.0,0.0,0,False,0,0,0,0,0.0,0.0,0.0,0.0,0.3392232986887954,0.4819522846331432,0.35714285714285715,80.78755003856485
COST50,nyse_20200103T210000Z,2020-01-03T21:00:00+00:00,0,0.0,0.0,0.0,0,False,0,0,0,0,0.0,0.0,0.0,0.0,0.3515824752897388,1.2696513425480471,0.42857142857142855,74.59155062802691
COST50,nyse_20200110T210000Z,2020-01-10T21:00:00+00:00,0,0.0,0.0,0.0,0,False,0,0,0,0,0.0,0.0,0.0,0.0,0.6246113815701678,1.3392617948852723,0.6428571428571429,67.47491074785201
COST50,nyse_20200117T210000Z,2020-01-17T21:00:00+00:00,6,0.6800025007068095,0.6800025007068095,0.0,3,False,6,0,0,0,12.5,5.833333333333333,3.1544068605458553,-1.8852879439333396,0.3685656254775133,0.8988039310418087,0.42857142857142855,80.80689336830844
COST50,nyse_20200124T210000Z,2020-01-24T21:00:00+00:00,6,-0.8312730958611172,-0.06470956960554991,-4.599381157533403,6,True,6,0,0,0,2.0,1.0,-0.6976000000000059,0.0,0.12672912717354606,0.45578281843769153,0.5,88.80208449489571
COST50,nyse_20200131T210000Z,2020-01-31T21:00:00+00:00,0,0.0,0.0,0.0,0,False,0,0,0,0,0.0,0.0,0.0,0.0,0.3847694079926834,1.20607954616111,0.42857142857142855,75.19852675267384
COST50,nyse_20200207T210000Z,2020-02-07T21:00:00+00:00,0,0.0,0.0,0.0,0,False,0,0,0,0,0.0,0.0,0.0,0.0,0.05248760887199011,1.1899594508464417,0.35714285714285715,84.49058988464773
COST50,nyse_20200214T210000Z,2020-02-14T21:00:00+00:00,0,0.0,0.0,0.0,0,False,0,0,0,0,0.0,0.0,0.0,0.0,0.5392503870445071,0.9327817543834389,0.5714285714285714,77.55145920457332
COST50,nyse_20200221T210000Z,2020-02-21T21:00:00+00:00,0,0.0,0.0,0.0,0,False,0,0,0,0,0.0,0.0,0.0,0.0,0.3507866298297572,1.3075226608265378,0.5,74.55424070599337
COST50,nyse_20200228T210000Z,2020-02-28T21:00:00+00:00,0,0.0,0.0,0.0,0,False,0,0,0,0,0.0,0.0,0.0,0.0,0.4637260570293302,1.229800077479416,0.5714285714285714,74.05029051092444
COST50,nyse_20200306T210000Z,2020-03-06T21:00:00+00:00,6,-3.5385922533380665,-3.5385922533380665,0.0,6,True,6,0,0,0,5.0,2.0,0.742900000000005,-4.010356656800104,0.11045652285460135,0.830197159302566,0.5714285714285714,90.16304344545291
COST50,nyse_20200313T200000Z,2020-03-13T20:00:00+00:00,6,-1.9722052916549455,-1.9722052916549455,0.0,6,True,6,1,0,0,11.166666666666666,5.0,3.037184402054191,-4.486984239369252,0.23981314414595306,1.0007287629070887,0.7857142857142857,88.98734813507976
COST50,nyse_20200320T200000Z,2020-03-20T20:00:00+00:00,6,0.09166186575792579,0.09166186575792579,0.0,3,False,6,0,0,0,18.333333333333332,8.666666666666666,5.375759840432482,-4.436883992026986,0.17152935566693567,0.9990329867396139,0.42857142857142855,86.6020777745019
COST50,nyse_20200327T200000Z,2020-03-27T20:00:00+00:00,0,0.0,0.0,0.0,0,False,0,0,0,0,0.0,0.0,0.0,0.0,0.047263243636557824,1.083210945427949,0.7142857142857143,91.7142594872876
COST50,nyse_20200403T200000Z,2020-04-03T20:00:00+00:00,0,0.0,0.0,0.0,0,False,0,0,0,0,0.0,0.0,0.0,0.0,0.5989520801536078,1.2460047480198508,0.5714285714285714,69.66952646636035
COST50,nyse_20200409T200000Z,2020-04-09T20:00:00+00:00,6,-4.40153010455548,-4.40153010455548,0.0,6,True,6,0,6,6,1.0,0.0,0.0,-4.273545481505498,0.2464857537026189,0.7076876870897362,0.5,85.27983077345239
COST50,nyse_20200417T200000Z,2020-04-17T20:00:00+00:00,0,0.0,0.0,0.0,0,False,0,0,0,0,0.0,0.0,0.0,0.0,0.004517355523850375,1.1349865275715536,0.6428571428571429,90.79982503330102
COST50,nyse_20200424T200000Z,2020-04-24T20:00:00+00:00,6,-0.5398229722932408,-0.9935634409114812,2.7224428117094424,3,False,6,0,0,0,6.0,3.0,-0.34035217984719507,0.0,0.17471170388066024,0.7232314496974616,0.5,87.39083223880411
COST50,nyse_20200501T200000Z,2020-05-01T20:00:00+00:00,6,1.5917369585218275,-1.0190653371924159,15.66481377428546,0,False,6,0,0,0,11.333333333333334,5.666666666666667,1.956822911481437,0.0,0.012414785809122962,0.5559920121213308,0.42857142857142855,91.28191806443758
COST50,nyse_20200508T200000Z,2020-05-08T20:00:00+00:00,0,0.0,0.0,0.0,0,False,0,0,0,0,0.0,0.0,0.0,0.0,0.5548118950208575,1.1465165455986992,0.35714285714285715,70.79815969722287
COST50,nyse_20200515T200000Z,2020-05-15T20:00:00+00:00,0,0.0,0.0,0.0,0,False,0,0,0,0,0.0,0.0,0.0,0.0,0.4474537344981044,1.4904793677286625,0.5714285714285714,68.03746276936161
COST50,nyse_20200522T200000Z,2020-05-22T20:00:00+00:00,0,0.0,0.0,0.0,0,False,0,0,0,0,0.0,0.0,0.0,0.0,0.10824246996531496,1.296315622984128,0.7142857142857143,84.61402850710168
COST50,nyse_20200529T200000Z,2020-05-29T20:00:00+00:00,6,-0.41870172065383165,-2.9421812481789886,15.140877165150943,5,False,6,0,0,0,6.0,3.0,-0.20272531581315892,0.0,0.1330312831062474,0.9104092344417752,0.6428571428571429,90.38143284981626
COST50,nyse_20200605T200000Z,2020-06-05T20:00:00+00:00,6,1.7036725535665134,2.9122087430462624,-7.251217136878495,0,False,6,0,0,0,12.666666666666666,6.333333333333333,2.249832940853128,0.0,0.24361942436611506,0.49680131649638826,0.5,85.36413457746721
COST50,nyse_20200612T200000Z,2020-06-12T20:00:00+00:00,0,0.0,0.0,0.0,0,False,0,0,0,0,0.0,0.0,0.0,0.0,0.12091109107338831,1.3163559777427727,0.42857142857142855,80.21296611091365
COST50,nyse_20200619T200000Z,2020-06-19T20:00:00+00:00,0,0.0,0.0,0.0,0,False,0,0,0,0,0.0,0.0,0.0,0.0,0.39216675713786747,1.3618136131070537,0.35714285714285715,70.22052109112236
COST50,nyse_20200626T200000Z,2020-06-26T20:00:00+00:00,6,-1.8754119120607922,-1.8754119120607922,0.0,6,True,6,0,0,0,8.666666666666666,3.8333333333333335,1.4517869346756982,-2.9803943777535147,0.2522675448497305,0.7801582256839733,0.42857142857142855,84.22742515147853
COST50,nyse_20200702T200000Z,2020-07-02T20:00:00+00:00,6,1.8308242158086445,1.3627737549537873,2.8083027651291435,0,False,6,0,0,0,8.0,4.0,2.175852160537914,0.0,0.15777530092733116,0.622252044524968,0.6428571428571429,89.65366761978439
COST50,nyse_20200710T200000Z,2020-07-10T20:00:00+00:00,0,0.0,0.0,0.0,0,False,0,0,0,0,0.0,0.0,0.0,0.0,0.3392232986887954,0.4819522846331432,0.35714285714285715,80.78755003856485
