candidate_id,round,mode,activation_usdt,minimum_locked_ratio,suppress_drawdown_pct,reduce_drawdown_pct,close_drawdown_pct,mean_seed_total_pnl,worst_seed_total_pnl,positive_seed_count,worst_5pct_window_mean_pnl,max_drawdown_pct,profitable_to_losing_ratio,median_peak_profit_giveback_pct,activation_count,reduce_count,close_count,passed_gate_count,all_base_gates_passed,passive_reduce_after_bars,active_reduce_after_bars,passive_reduce_fraction,active_reduce_fraction,development_mean_seed_total_pnl,passive_reduce_reprice_count,passive_reduce_fill_count,active_reduce_count,active_reduce_cost,median_active_inventory_reduction_pct,all_gates_passed
P0_OFF,baseline,OFF,10.0,0.25,0.25,0.35,0.5,28.165621851810478,23.995900684789852,6,-3.323583028320009,0.016382553155923477,0.42020497803806733,0.6758240948784803,0,0,0,0,False,,,,,,,,,,,
P1_FIXED_A10,baseline,FIXED_CLOSE,10.0,0.25,0.25,0.35,0.5,28.165621851810478,23.995900684789852,6,-3.323583028320009,0.016382553155923477,0.42020497803806733,0.6758240948784803,0,0,0,0,False,,,,,,,,,,,
P2_DEFAULT_A10,baseline,PEAK_DRAWDOWN,10.0,0.25,0.25,0.35,0.5,28.165621851810478,23.995900684789852,6,-3.323583028320009,0.016382553155923477,0.42020497803806733,0.6758240948784803,0,0,0,7,False,,,,,,,,,,,
R1_A2,round_1_activation,PEAK_DRAWDOWN,2.0,0.25,0.25,0.35,0.5,20.814240693747124,15.170036440709772,6,-3.323583028320009,0.01533245744990135,0.4172767203513909,0.5601119786559996,144,753,87,7,False,,,,,,,,,,,
R1_A4,round_1_activation,PEAK_DRAWDOWN,4.0,0.25,0.25,0.35,0.5,28.995248959590498,24.745181724845462,6,-3.323583028320009,0.016382553155923477,0.42020497803806733,0.655967607897575,27,42,7,8,False,,,,,,,,,,,
R1_A6,round_1_activation,PEAK_DRAWDOWN,6.0,0.25,0.25,0.35,0.5,28.165621851810478,23.995900684789852,6,-3.323583028320009,0.016382553155923477,0.42020497803806733,0.6758240948784803,0,0,0,7,False,,,,,,,,,,,
R2_A2_C40,round_2_close_drawdown,PEAK_DRAWDOWN,2.0,0.25,0.25,0.35,0.4,23.230982786946235,18.938135019389087,6,-3.323583028320009,0.015277456037785719,0.4172767203513909,0.4918338607701537,144,286,100,8,False,,,,,,,,,,,
R2_A2_C45,round_2_close_drawdown,PEAK_DRAWDOWN,2.0,0.25,0.25,0.35,0.45,22.874546769410887,17.43935206585077,6,-3.323583028320009,0.015277456037785719,0.4172767203513909,0.503471855744833,144,532,94,8,False,,,,,,,,,,,
R2_A2_C50,round_2_close_drawdown,PEAK_DRAWDOWN,2.0,0.25,0.25,0.35,0.5,20.814240693747124,15.170036440709772,6,-3.323583028320009,0.01533245744990135,0.4172767203513909,0.5601119786559996,144,753,87,7,False,,,,,,,,,,,
R2_A2_C55,round_2_close_drawdown,PEAK_DRAWDOWN,2.0,0.25,0.25,0.35,0.55,21.713809626654797,17.40858997032266,6,-3.323583028320009,0.015561664478418008,0.4172767203513909,0.6054255703860645,144,803,75,8,False,,,,,,,,,,,
R2_A2_C60,round_2_close_drawdown,PEAK_DRAWDOWN,2.0,0.25,0.25,0.35,0.6,21.82689711305742,17.993029899162785,6,-3.323583028320009,0.015612954751922172,0.4172767203513909,0.6665529541313431,144,903,61,7,False,,,,,,,,,,,
R3_A2_C40_L20,round_3_minimum_lock,PEAK_DRAWDOWN,2.0,0.2,0.25,0.35,0.4,23.230982786946235,18.938135019389087,6,-3.323583028320009,0.015277456037785719,0.4172767203513909,0.4918338607701537,144,286,100,8,False,,,,,,,,,,,
R3_A2_C40_L30,round_3_minimum_lock,PEAK_DRAWDOWN,2.0,0.3,0.25,0.35,0.4,23.230982786946235,18.938135019389087,6,-3.323583028320009,0.015277456037785719,0.4172767203513909,0.4918338607701537,144,286,100,8,False,,,,,,,,,,,
R3_A2_C40_L40,round_3_minimum_lock,PEAK_DRAWDOWN,2.0,0.4,0.25,0.35,0.4,23.230982786946235,18.938135019389087,6,-3.323583028320009,0.015277456037785719,0.4172767203513909,0.4918338607701537,144,286,100,8,False,,,,,,,,,,,
P3_R1_P30_A360_F20,p3_round_1_passive_timing,,,,,,,23.246534146235838,18.376942037475008,,-3.323583028320009,0.015277456037785719,0.4172767203513909,0.4918338607701537,,,,10,,30,360,0.2,0.2,15.454416257505915,31,18,3,0.42699956935,1.0,False
P3_R1_P60_A360_F20,p3_round_1_passive_timing,,,,,,,23.210025504450183,18.35093740269334,,-3.323583028320009,0.015277456037785719,0.4172767203513909,0.4918338607701537,,,,10,,60,360,0.2,0.2,15.418476473273037,25,14,3,0.42699956935,1.0,False
P3_R1_P120_A360_F20,p3_round_1_passive_timing,,,,,,,23.18258002769247,18.248434734531216,,-3.323583028320009,0.015277456037785719,0.4172767203513909,0.4918338607701537,,,,10,,120,360,0.2,0.2,15.397227287662126,23,11,3,0.42753399115,1.0,False
P3_R2_P30_A120_F20,p3_round_2_active_timing,,,,,,,23.06612045667894,18.46120855873009,,-3.323583028320009,0.015277456037785719,0.4172767203513909,0.4918338607701537,,,,10,,30,120,0.2,0.2,15.295014216876798,48,29,20,1.32115764081,0.19615384615384618,False
P3_R2_P30_A240_F20,p3_round_2_active_timing,,,,,,,22.807601361167148,18.42594790480876,,-3.323583028320009,0.015277456037785719,0.4172767203513909,0.4918338607701537,,,,10,,30,240,0.2,0.2,15.036495121365004,45,29,17,0.91263247344,0.19230769230769226,False
P3_R2_P30_A360_F20,p3_round_2_active_timing,,,,,,,23.246534146235838,18.376942037475008,,-3.323583028320009,0.015277456037785719,0.4172767203513909,0.4918338607701537,,,,10,,30,360,0.2,0.2,15.454416257505915,31,18,3,0.42699956935,1.0,False
P3_R3_P30_A360_PF20_AF20,p3_round_3_reduce_fraction,,,,,,,23.246534146235838,18.376942037475008,,-3.323583028320009,0.015277456037785719,0.4172767203513909,0.4918338607701537,,,,10,,30,360,0.2,0.2,15.454416257505915,31,18,3,0.42699956935,1.0,False
P3_R3_P30_A360_PF20_AF35,p3_round_3_reduce_fraction,,,,,,,23.246534146235838,18.376942037475008,,-3.323583028320009,0.015277456037785719,0.4172767203513909,0.4918338607701537,,,,10,,30,360,0.2,0.35,15.454416257505915,31,18,3,0.42699956935,1.0,False
P3_R3_P30_A360_PF35_AF20,p3_round_3_reduce_fraction,,,,,,,23.26577199435596,18.39757204338497,,-3.323583028320009,0.015277456037785719,0.4172767203513909,0.4918338607701537,,,,10,,30,360,0.35,0.2,15.472946971677699,31,18,3,0.42699956935,1.0,False
P3_R3_P30_A360_PF35_AF35,p3_round_3_reduce_fraction,,,,,,,23.26577199435596,18.39757204338497,,-3.323583028320009,0.015277456037785719,0.4172767203513909,0.4918338607701537,,,,10,,30,360,0.35,0.35,15.472946971677699,31,18,3,0.42699956935,1.0,False
